,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Expected Retained Bits,Stratigraphic Column Mean Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Expected Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
18,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47643,5001,5001,,,0.96875,512
19,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47643,5001,5001,0.0,1024.0,0.99609375,0
20,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47643,5001,5001,0.0,4096.0,1.0,0
21,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47645,47643,5001,5001,,,0.96875,128
22,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47645,47643,5001,5001,0.0,256.0,0.99609375,0
23,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47645,47643,5001,5001,0.0,4096.0,1.0,0
24,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47645,47643,5001,5001,,,0.96875,32
25,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47645,47643,5001,5001,0.0,64.0,0.99609375,0
26,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47645,47643,5001,5001,0.0,512.0,1.0,0
27,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47645,47643,5001,5001,3328.0,4096.0,0.96875,2048
28,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47645,47643,5001,5001,0.0,4096.0,0.99609375,0
29,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47645,47643,5001,5001,0.0,4096.0,1.0,0
30,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47645,47643,5001,5001,,,0.96875,512
31,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47645,47643,5001,5001,0.0,1024.0,0.99609375,0
32,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47645,47643,5001,5001,0.0,4096.0,1.0,0
33,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47645,47643,5001,5001,,,0.96875,64
34,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47645,47643,5001,5001,0.0,256.0,0.99609375,0
35,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47645,47643,5001,5001,0.0,4096.0,1.0,0
36,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47642,5001,5001,,,0.96875,512
37,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47642,5001,5001,0.0,1024.0,0.99609375,0
38,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47642,5001,5001,0.0,4096.0,1.0,0
39,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47645,47642,5001,5001,,,0.96875,128
40,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47645,47642,5001,5001,0.0,256.0,0.99609375,0
41,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47645,47642,5001,5001,0.0,4096.0,1.0,0
42,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47645,47642,5001,5001,,,0.96875,32
43,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47645,47642,5001,5001,0.0,64.0,0.99609375,0
44,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47645,47642,5001,5001,0.0,512.0,1.0,0
45,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47645,47642,5001,5001,,,0.96875,2048
46,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47645,47642,5001,5001,0.0,4096.0,0.99609375,0
47,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47645,47642,5001,5001,0.0,4096.0,1.0,0
48,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47645,47642,5001,5001,,,0.96875,512
49,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47645,47642,5001,5001,0.0,1024.0,0.99609375,0
50,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47645,47642,5001,5001,0.0,4096.0,1.0,0
51,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47645,47642,5001,5001,,,0.96875,64
52,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47645,47642,5001,5001,0.0,256.0,0.99609375,0
53,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47645,47642,5001,5001,0.0,4096.0,1.0,0
54,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47641,5001,5001,,,0.96875,512
55,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47641,5001,5001,0.0,1024.0,0.99609375,0
56,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47641,5001,5001,0.0,4096.0,1.0,0
57,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47645,47641,5001,5001,,,0.96875,128
58,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47645,47641,5001,5001,0.0,256.0,0.99609375,0
59,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47645,47641,5001,5001,0.0,4096.0,1.0,0
60,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47645,47641,5001,5001,,,0.96875,32
61,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47645,47641,5001,5001,0.0,64.0,0.99609375,0
62,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47645,47641,5001,5001,0.0,512.0,1.0,0
63,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47645,47641,5001,5001,,,0.96875,2048
64,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47645,47641,5001,5001,0.0,4096.0,0.99609375,0
65,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47645,47641,5001,5001,0.0,4096.0,1.0,0
66,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47645,47641,5001,5001,,,0.96875,512
67,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47645,47641,5001,5001,0.0,1024.0,0.99609375,0
68,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47645,47641,5001,5001,0.0,4096.0,1.0,0
69,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47645,47641,5001,5001,,,0.96875,64
70,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47645,47641,5001,5001,0.0,256.0,0.99609375,0
71,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47645,47641,5001,5001,0.0,4096.0,1.0,0
72,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47640,5001,5001,,,0.96875,512
73,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47640,5001,5001,0.0,1024.0,0.99609375,0
74,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47640,5001,5001,0.0,4096.0,1.0,0
75,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47645,47640,5001,5001,,,0.96875,128
76,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47645,47640,5001,5001,0.0,256.0,0.99609375,0
77,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47645,47640,5001,5001,0.0,4096.0,1.0,0
78,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47645,47640,5001,5001,,,0.96875,32
79,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47645,47640,5001,5001,0.0,64.0,0.99609375,0
80,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47645,47640,5001,5001,0.0,512.0,1.0,0
81,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47645,47640,5001,5001,,,0.96875,2048
82,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47645,47640,5001,5001,0.0,4096.0,0.99609375,0
83,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47645,47640,5001,5001,0.0,4096.0,1.0,0
84,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47645,47640,5001,5001,,,0.96875,512
85,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47645,47640,5001,5001,0.0,1024.0,0.99609375,0
86,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47645,47640,5001,5001,0.0,4096.0,1.0,0
87,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47645,47640,5001,5001,,,0.96875,64
88,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47645,47640,5001,5001,0.0,256.0,0.99609375,0
89,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47645,47640,5001,5001,0.0,4096.0,1.0,0
90,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47639,5001,5001,,,0.96875,512
91,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47639,5001,5001,0.0,1024.0,0.99609375,0
92,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47639,5001,5001,0.0,4096.0,1.0,0
93,actual_bits=255+actual_strata=255+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=127+target_bits=256,1,TaperedDepthProportionalResolution,127,255,255.0,256,-1,255,47645,47639,5001,5001,,,0.96875,128
94,actual_bits=248+actual_strata=31+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=15+target_bits=256,8,TaperedDepthProportionalResolution,15,248,248.0,256,-8,31,47645,47639,5001,5001,0.0,256.0,0.99609375,0
95,actual_bits=192+actual_strata=3+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=256,64,TaperedDepthProportionalResolution,1,192,192.0,256,-64,3,47645,47639,5001,5001,0.0,4096.0,1.0,0
96,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=511+target_bits=1024,1,TaperedDepthProportionalResolution,511,1023,1022.2222222222222,1024,-1,1023,47645,47639,5001,5001,8.0,48.0,0.96875,32
97,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=63+target_bits=1024,8,TaperedDepthProportionalResolution,63,1016,1016.0,1024,-8,127,47645,47639,5001,5001,0.0,64.0,0.99609375,0
98,actual_bits=960+actual_strata=15+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=7+target_bits=1024,64,TaperedDepthProportionalResolution,7,960,960.0,1024,-64,15,47645,47639,5001,5001,0.0,512.0,1.0,0
99,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=5+target_bits=64,1,RecencyProportionalResolution,5,59,58.44444444444444,64,-5,59,47645,47639,5001,5001,0.0,2304.0,0.96875,2048
100,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,56,51.55555555555556,64,-8,7,47645,47639,5001,5001,0.0,4096.0,0.99609375,0
101,actual_bits=448+actual_strata=7+bits_error=384+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,448,412.44444444444446,64,384,7,47645,47639,5001,5001,0.0,4096.0,1.0,0
102,actual_bits=252+actual_strata=252+bits_error=-4+differentia=1+policy=RecencyProportionalResolution+resolution=30+target_bits=256,1,RecencyProportionalResolution,30,252,251.44444444444446,256,-4,252,47645,47639,5001,5001,,,0.96875,512
103,actual_bits=240+actual_strata=30+bits_error=-16+differentia=8+policy=RecencyProportionalResolution+resolution=2+target_bits=256,8,RecencyProportionalResolution,2,240,235.55555555555554,256,-16,30,47645,47639,5001,5001,0.0,1024.0,0.99609375,0
104,actual_bits=448+actual_strata=7+bits_error=192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=256,64,RecencyProportionalResolution,0,448,412.44444444444446,256,192,7,47645,47639,5001,5001,0.0,4096.0,1.0,0
105,actual_bits=1023+actual_strata=1023+bits_error=-1+differentia=1+policy=RecencyProportionalResolution+resolution=177+target_bits=1024,1,RecencyProportionalResolution,177,1023,1022.4444444444445,1024,-1,1023,47645,47639,5001,5001,,,0.96875,64
106,actual_bits=1016+actual_strata=127+bits_error=-8+differentia=8+policy=RecencyProportionalResolution+resolution=13+target_bits=1024,8,RecencyProportionalResolution,13,1016,1011.5555555555555,1024,-8,127,47645,47639,5001,5001,0.0,256.0,0.99609375,0
107,actual_bits=448+actual_strata=7+bits_error=-576+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=1024,64,RecencyProportionalResolution,0,448,412.44444444444446,1024,-576,7,47645,47639,5001,5001,0.0,4096.0,1.0,0
108,actual_bits=63+actual_strata=63+bits_error=-1+differentia=1+policy=TaperedDepthProportionalResolution+resolution=31+target_bits=64,1,TaperedDepthProportionalResolution,31,63,63.0,64,-1,63,47645,47626,5001,5000,,,0.96875,512
109,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,56.0,64,-8,7,47645,47626,5001,5000,0.0,1024.0,0.99609375,0
110,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,192.0,64,128,3,47645,47626,5001,5000,0.0,4096.0,1.0,0
