Treatment,target,differentia,policy,condition,score,dist_fun,Tree Comparison Metric,Num Column Bits,Num Differentia Bits
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,ecoea,0.77923387,info,Mutual Clustering Information,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,sharing,0.80361689,info,Mutual Clustering Information,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,tournament,,info,Mutual Clustering Information,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,lexicase,0.53758344,info,Mutual Clustering Information,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,random,0.48702856,cid,Clustering Information Distance,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,ecoea,0.87675364,cid,Clustering Information Distance,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,sharing,0.3265691,cid,Clustering Information Distance,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,tournament,1.0,cid,Clustering Information Distance,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,lexicase,0.48910738,cid,Clustering Information Distance,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,random,0.55569694,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,ecoea,0.12705271,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,sharing,0.64111808,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=RecencyProportionalResolution+target=4096,4096,64,RPR,lexicase,0.58632479,rf,Generalized Robinson-Foulds Similarity,4096,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,random,0.5767782,info,Mutual Clustering Information,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,ecoea,0.76353253,info,Mutual Clustering Information,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,sharing,0.59156955,info,Mutual Clustering Information,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,tournament,,info,Mutual Clustering Information,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,lexicase,0.53130189,info,Mutual Clustering Information,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,random,0.49739862,cid,Clustering Information Distance,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,ecoea,0.88445336,cid,Clustering Information Distance,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,sharing,0.57029131,cid,Clustering Information Distance,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,tournament,1.0,cid,Clustering Information Distance,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,lexicase,0.49939839,cid,Clustering Information Distance,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,random,0.55443922,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,ecoea,0.10959622,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,sharing,0.42017511,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=RecencyProportionalResolution+target=512,512,64,RPR,lexicase,0.58734585,rf,Generalized Robinson-Foulds Similarity,512,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,random,0.5767782,info,Mutual Clustering Information,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,ecoea,0.76353253,info,Mutual Clustering Information,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,sharing,0.59156955,info,Mutual Clustering Information,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,tournament,,info,Mutual Clustering Information,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,lexicase,0.53130189,info,Mutual Clustering Information,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,random,0.49739862,cid,Clustering Information Distance,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,ecoea,0.88445336,cid,Clustering Information Distance,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,sharing,0.57029131,cid,Clustering Information Distance,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,tournament,1.0,cid,Clustering Information Distance,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,lexicase,0.49939839,cid,Clustering Information Distance,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,random,0.55443922,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,ecoea,0.10959622,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,sharing,0.42017511,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=RecencyProportionalResolution+target=64,64,64,RPR,lexicase,0.58734585,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,random,0.5436817,info,Mutual Clustering Information,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,ecoea,0.77783636,info,Mutual Clustering Information,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,sharing,0.60322108,info,Mutual Clustering Information,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,tournament,,info,Mutual Clustering Information,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,lexicase,0.53758344,info,Mutual Clustering Information,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,random,0.52442493,cid,Clustering Information Distance,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,ecoea,0.89416878,cid,Clustering Information Distance,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,sharing,0.56367128,cid,Clustering Information Distance,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,tournament,1.0,cid,Clustering Information Distance,4096,64
differentia=64+policy=TaperedDepthProportionalResolution+target=4096,4096,64,TDPR,lexicase,0.48910738,cid,Clustering Information Distance,4096,64
