,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
769,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=512,8,RecencyProportionalResolution,9,72,512,-440,9,47640,47643,5001,5001,0.0,256.0,0.99609375,0
770,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=RecencyProportionalResolution+resolution=3+target_bits=512,64,RecencyProportionalResolution,3,512,512,0,8,47640,47643,5001,5001,0.0,1024.0,1.0,0
771,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,1,RecencyProportionalResolution,9,9,1024,-1015,9,47640,47643,5001,5001,,,0.96875,1024
772,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,8,RecencyProportionalResolution,9,72,1024,-952,9,47640,47643,5001,5001,0.0,256.0,0.99609375,0
773,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,64,RecencyProportionalResolution,9,576,1024,-448,9,47640,47643,5001,5001,0.0,256.0,1.0,0
774,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=64,1,TaperedDepthProportionalResolution,9,9,64,-55,9,47640,47642,5001,5001,,,0.96875,1536
775,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=64,8,TaperedDepthProportionalResolution,4,64,64,0,8,47640,47642,5001,5001,0.0,1024.0,0.99609375,0
776,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,128,64,64,2,47640,47642,5001,5001,0.0,4096.0,1.0,0
777,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,1,TaperedDepthProportionalResolution,9,9,512,-503,9,47640,47642,5001,5001,,,0.96875,1536
778,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,8,TaperedDepthProportionalResolution,9,72,512,-440,9,47640,47642,5001,5001,0.0,512.0,0.99609375,0
779,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=512,64,TaperedDepthProportionalResolution,4,512,512,0,8,47640,47642,5001,5001,0.0,1024.0,1.0,0
780,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,1,TaperedDepthProportionalResolution,9,9,1024,-1015,9,47640,47642,5001,5001,,,0.96875,1536
781,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,8,TaperedDepthProportionalResolution,9,72,1024,-952,9,47640,47642,5001,5001,0.0,512.0,0.99609375,0
782,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,64,TaperedDepthProportionalResolution,9,576,1024,-448,9,47640,47642,5001,5001,0.0,512.0,1.0,0
783,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=64,1,RecencyProportionalResolution,9,9,64,-55,9,47640,47642,5001,5001,,,0.96875,1024
784,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=RecencyProportionalResolution+resolution=3+target_bits=64,8,RecencyProportionalResolution,3,64,64,0,8,47640,47642,5001,5001,0.0,1024.0,0.99609375,0
785,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,128,64,64,2,47640,47642,5001,5001,0.0,4096.0,1.0,0
786,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=512,1,RecencyProportionalResolution,9,9,512,-503,9,47640,47642,5001,5001,,,0.96875,1024
787,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=512,8,RecencyProportionalResolution,9,72,512,-440,9,47640,47642,5001,5001,0.0,256.0,0.99609375,0
788,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=RecencyProportionalResolution+resolution=3+target_bits=512,64,RecencyProportionalResolution,3,512,512,0,8,47640,47642,5001,5001,0.0,1024.0,1.0,0
789,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,1,RecencyProportionalResolution,9,9,1024,-1015,9,47640,47642,5001,5001,,,0.96875,1024
790,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,8,RecencyProportionalResolution,9,72,1024,-952,9,47640,47642,5001,5001,0.0,256.0,0.99609375,0
791,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,64,RecencyProportionalResolution,9,576,1024,-448,9,47640,47642,5001,5001,0.0,256.0,1.0,0
792,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=64,1,TaperedDepthProportionalResolution,9,9,64,-55,9,47640,47641,5001,5001,,,0.96875,1536
793,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=64,8,TaperedDepthProportionalResolution,4,64,64,0,8,47640,47641,5001,5001,0.0,1024.0,0.99609375,0
794,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,128,64,64,2,47640,47641,5001,5001,0.0,4096.0,1.0,0
795,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,1,TaperedDepthProportionalResolution,9,9,512,-503,9,47640,47641,5001,5001,,,0.96875,1536
796,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,8,TaperedDepthProportionalResolution,9,72,512,-440,9,47640,47641,5001,5001,0.0,512.0,0.99609375,0
797,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=512,64,TaperedDepthProportionalResolution,4,512,512,0,8,47640,47641,5001,5001,0.0,1024.0,1.0,0
798,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,1,TaperedDepthProportionalResolution,9,9,1024,-1015,9,47640,47641,5001,5001,,,0.96875,1536
799,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,8,TaperedDepthProportionalResolution,9,72,1024,-952,9,47640,47641,5001,5001,0.0,512.0,0.99609375,0
800,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,64,TaperedDepthProportionalResolution,9,576,1024,-448,9,47640,47641,5001,5001,0.0,512.0,1.0,0
801,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=64,1,RecencyProportionalResolution,9,9,64,-55,9,47640,47641,5001,5001,,,0.96875,1024
802,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=RecencyProportionalResolution+resolution=3+target_bits=64,8,RecencyProportionalResolution,3,64,64,0,8,47640,47641,5001,5001,0.0,1024.0,0.99609375,0
803,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,128,64,64,2,47640,47641,5001,5001,0.0,4096.0,1.0,0
804,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=512,1,RecencyProportionalResolution,9,9,512,-503,9,47640,47641,5001,5001,,,0.96875,1024
805,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=512,8,RecencyProportionalResolution,9,72,512,-440,9,47640,47641,5001,5001,0.0,256.0,0.99609375,0
806,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=RecencyProportionalResolution+resolution=3+target_bits=512,64,RecencyProportionalResolution,3,512,512,0,8,47640,47641,5001,5001,0.0,1024.0,1.0,0
807,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,1,RecencyProportionalResolution,9,9,1024,-1015,9,47640,47641,5001,5001,,,0.96875,1024
808,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,8,RecencyProportionalResolution,9,72,1024,-952,9,47640,47641,5001,5001,0.0,256.0,0.99609375,0
809,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,64,RecencyProportionalResolution,9,576,1024,-448,9,47640,47641,5001,5001,0.0,256.0,1.0,0
810,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=64,1,TaperedDepthProportionalResolution,9,9,64,-55,9,47640,47639,5001,5001,,,0.96875,1536
811,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=64,8,TaperedDepthProportionalResolution,4,64,64,0,8,47640,47639,5001,5001,0.0,1024.0,0.99609375,0
812,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,128,64,64,2,47640,47639,5001,5001,0.0,4096.0,1.0,0
813,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,1,TaperedDepthProportionalResolution,9,9,512,-503,9,47640,47639,5001,5001,,,0.96875,1536
814,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=512,8,TaperedDepthProportionalResolution,9,72,512,-440,9,47640,47639,5001,5001,0.0,512.0,0.99609375,0
815,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=4+target_bits=512,64,TaperedDepthProportionalResolution,4,512,512,0,8,47640,47639,5001,5001,0.0,1024.0,1.0,0
816,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,1,TaperedDepthProportionalResolution,9,9,1024,-1015,9,47640,47639,5001,5001,,,0.96875,1536
817,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,8,TaperedDepthProportionalResolution,9,72,1024,-952,9,47640,47639,5001,5001,0.0,512.0,0.99609375,0
818,actual_bits=576+actual_strata=9+bits_error=-448+differentia=64+policy=TaperedDepthProportionalResolution+resolution=9+target_bits=1024,64,TaperedDepthProportionalResolution,9,576,1024,-448,9,47640,47639,5001,5001,0.0,512.0,1.0,0
819,actual_bits=9+actual_strata=9+bits_error=-55+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=64,1,RecencyProportionalResolution,9,9,64,-55,9,47640,47639,5001,5001,,,0.96875,1024
820,actual_bits=64+actual_strata=8+bits_error=0+differentia=8+policy=RecencyProportionalResolution+resolution=3+target_bits=64,8,RecencyProportionalResolution,3,64,64,0,8,47640,47639,5001,5001,0.0,1024.0,0.99609375,0
821,actual_bits=128+actual_strata=2+bits_error=64+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,128,64,64,2,47640,47639,5001,5001,0.0,4096.0,1.0,0
822,actual_bits=9+actual_strata=9+bits_error=-503+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=512,1,RecencyProportionalResolution,9,9,512,-503,9,47640,47639,5001,5001,,,0.96875,1024
823,actual_bits=72+actual_strata=9+bits_error=-440+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=512,8,RecencyProportionalResolution,9,72,512,-440,9,47640,47639,5001,5001,0.0,256.0,0.99609375,0
824,actual_bits=512+actual_strata=8+bits_error=0+differentia=64+policy=RecencyProportionalResolution+resolution=3+target_bits=512,64,RecencyProportionalResolution,3,512,512,0,8,47640,47639,5001,5001,0.0,1024.0,1.0,0
825,actual_bits=9+actual_strata=9+bits_error=-1015+differentia=1+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,1,RecencyProportionalResolution,9,9,1024,-1015,9,47640,47639,5001,5001,,,0.96875,1024
826,actual_bits=72+actual_strata=9+bits_error=-952+differentia=8+policy=RecencyProportionalResolution+resolution=9+target_bits=1024,8,RecencyProportionalResolution,9,72,1024,-952,9,47640,47639,5001,5001,0.0,256.0,0.99609375,0
