,Column Configuration,Differentia Bit Width,Stratum Retention Policy,Stratum Retention Policy Resolution Parameter,Stratigraphic Column Actual Retained Bits,Stratigraphic Column Target Retained Bits,Stratigraphic Column Retained Bits Error,Stratigraphic Column Actual Num Retained Strata,Taxon Compared From,Taxon Compared To,Generation of Taxon Compared From,Generation of Taxon Compared To,Generation Of MRCA Lower Bound (inclusive),Generation Of MRCA Upper Bound (exclusive),MRCA Bound Confidence,Rank of Earliest Detectable Mrca With
85,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4737,4517,501,477,88.0,92.0,0.99609375,0
86,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4737,4517,501,477,0.0,256.0,1.0,0
87,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4737,4517,501,477,72.0,92.0,0.96875,28
88,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4737,4517,501,477,88.0,92.0,0.99609375,0
89,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4737,4517,501,477,0.0,128.0,1.0,0
90,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=64,1,TaperedDepthProportionalResolution,59,59,64,-5,59,4737,4626,501,489,72.0,92.0,0.96875,32
91,actual_bits=56+actual_strata=7+bits_error=-8+differentia=8+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=64,8,TaperedDepthProportionalResolution,3,56,64,-8,7,4737,4626,501,489,0.0,128.0,0.99609375,0
92,actual_bits=192+actual_strata=3+bits_error=128+differentia=64+policy=TaperedDepthProportionalResolution+resolution=1+target_bits=64,64,TaperedDepthProportionalResolution,1,192,64,128,3,4737,4626,501,489,0.0,256.0,1.0,0
93,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,1,TaperedDepthProportionalResolution,59,59,512,-453,59,4737,4626,501,489,76.0,96.0,0.96875,32
94,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=512,8,TaperedDepthProportionalResolution,59,472,512,-40,59,4737,4626,501,489,88.0,92.0,0.99609375,0
95,actual_bits=448+actual_strata=7+bits_error=-64+differentia=64+policy=TaperedDepthProportionalResolution+resolution=3+target_bits=512,64,TaperedDepthProportionalResolution,3,448,512,-64,7,4737,4626,501,489,0.0,128.0,1.0,0
96,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,1,TaperedDepthProportionalResolution,59,59,1024,-965,59,4737,4626,501,489,72.0,92.0,0.96875,32
97,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=TaperedDepthProportionalResolution+resolution=59+target_bits=1024,8,TaperedDepthProportionalResolution,59,472,1024,-552,59,4737,4626,501,489,88.0,92.0,0.99609375,0
98,actual_bits=1024+actual_strata=16+bits_error=0+differentia=64+policy=TaperedDepthProportionalResolution+resolution=8+target_bits=1024,64,TaperedDepthProportionalResolution,8,1024,1024,0,16,4737,4626,501,489,64.0,96.0,1.0,0
99,actual_bits=59+actual_strata=59+bits_error=-5+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=64,1,RecencyProportionalResolution,59,59,64,-5,59,4737,4626,501,489,76.0,96.0,0.96875,28
100,actual_bits=40+actual_strata=5+bits_error=-24+differentia=8+policy=RecencyProportionalResolution+resolution=0+target_bits=64,8,RecencyProportionalResolution,0,40,64,-24,5,4737,4626,501,489,0.0,256.0,0.99609375,0
101,actual_bits=320+actual_strata=5+bits_error=256+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=64,64,RecencyProportionalResolution,0,320,64,256,5,4737,4626,501,489,0.0,256.0,1.0,0
102,actual_bits=59+actual_strata=59+bits_error=-453+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=512,1,RecencyProportionalResolution,59,59,512,-453,59,4737,4626,501,489,72.0,92.0,0.96875,28
103,actual_bits=472+actual_strata=59+bits_error=-40+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=512,8,RecencyProportionalResolution,59,472,512,-40,59,4737,4626,501,489,88.0,92.0,0.99609375,0
104,actual_bits=320+actual_strata=5+bits_error=-192+differentia=64+policy=RecencyProportionalResolution+resolution=0+target_bits=512,64,RecencyProportionalResolution,0,320,512,-192,5,4737,4626,501,489,0.0,256.0,1.0,0
105,actual_bits=59+actual_strata=59+bits_error=-965+differentia=1+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,1,RecencyProportionalResolution,59,59,1024,-965,59,4737,4626,501,489,72.0,92.0,0.96875,28
106,actual_bits=472+actual_strata=59+bits_error=-552+differentia=8+policy=RecencyProportionalResolution+resolution=59+target_bits=1024,8,RecencyProportionalResolution,59,472,1024,-552,59,4737,4626,501,489,88.0,92.0,0.99609375,0
107,actual_bits=896+actual_strata=14+bits_error=-128+differentia=64+policy=RecencyProportionalResolution+resolution=2+target_bits=1024,64,RecencyProportionalResolution,2,896,1024,-128,14,4737,4626,501,489,0.0,128.0,1.0,0
